,count,references
See Hiero,1,Hiero
See Gellius,1,Gellius
"See Biographic Universelle; Month
ly Revieiv",1,"Biographic Universelle; Month
ly Revieiv"
See Minano,1,Minano
See Calcedony,1,Calcedony
"See Mo
ney - Table",1,"Mo
ney - Table"
"See the article At-
pubhc to be found in the world",1,"the article At-
pubhc to be found in the world"
See Laina’s History of Scotland,1,Laina’s History of Scotland
See llkTlse the preface to his Life of Bedell,1,llkTlse the preface to his Life of Bedell
See account of the temples at Pekin dedicated to the heavens,1,account of the temples at Pekin dedicated to the heavens
See Alcmaer,1,Alcmaer
"See Re^ne Ammal‘> U m- P‘ 20?-
3 For descriptive notices (with figures) of several rare and otherwise interesting British Annelides",1,"Re^ne Ammal‘> U m- P‘ 20?-
3 For descriptive notices (with figures) of several rare and otherwise interesting British Annelides"
